Action Item,Priority,Objective,Specific Action,Key Deliverables,Responsible Party,Timeline,Progress Notes,Status,Completion (%),RAG Rating
Environmental Compliance,Critical Priority,Upgrade sewage and water systems,Assess outstanding works on sewage and water treatment plants,Updated Compliance Reports,"Resort Managers, Environmental Compliance Specialist",Jan – June 2026,Budget update done. Included in list for EOI Q1 2026.,In Progress,25,Green
Environmental Compliance,Critical Priority,Upgrade sewage and water systems,Call out for suppliers/work with supplier,Serviced and upgraded systems,Environmental Compliance Specialist,Jan – June 2027,Included in list for EOI Q1 2026.,Not Started,0,Green
Environmental Compliance,Critical Priority,Upgrade sewage and water systems,Implement works proposed by supplier,Compliance Metrics/Checklist,Environmental Compliance Specialist,Jan – June 2028,,Not Started,0,Green
Environmental Compliance,Critical Priority,Upgrade sewage and water systems,Provide feedback report on upgrades,,Environmental Compliance Specialist,Jan – June 2029,,Not Started,0,Green
Health and Safety Compliance,Critical Priority,Replace/Service fire safety equipment,Identify suitable supplier,"New/Serviced Fire Extinguishers, First Aid kits",COO,Jan – June 2026,Bids received non-responsive. Retender on restricted bidding.,Delayed,10,Red
Health and Safety Compliance,Critical Priority,Replace/Service fire safety equipment,Roll out distribution of equipment,,Resort Managers,Jan – June 2026,,Not Started,0,Green
Procurement Challenges,Critical Priority,Streamline procurement processes,Recruit Procurement Manager,New Procurement SOPs,CFO/Finance Department,Dec 2025 – March 2026,Preliminary short listing done (referred back to HC due to discrepancies).,In Progress,40,Amber
Procurement Challenges,Critical Priority,Streamline procurement processes,Streamline Procurement Processes,Supplier Performance Metrics,CFO/Finance Department,Dec 2025 – March 2027,,Not Started,0,Green
Procurement Challenges,Critical Priority,Streamline procurement processes,Develop guidelines on procurement,,CFO/Finance Department,Dec 2025 – March 2028,,Not Started,0,Green
Potential Revenue Losses,Critical Priority,Assess blocked rooms/revenue leaks,Conduct Internal Investigations on revenue leaks,Maintenance log system,Resort Managers,Dec 2025 – June 2026,Internal Audit Reports conducted.,Completed,100,Green
Potential Revenue Losses,Critical Priority,Assess blocked rooms/revenue leaks,Implement strategies on mitigating risk,Improved Guest satisfaction,"COO, CIO, Mobile Maintenance Team",Dec 2025 – June 2026,Manager provided comments on findings.,In Progress,50,Amber
Infrastructure Challenges,Critical Priority,Conduct asset condition assessments,Identify resorts in need of urgent repairs,Infrastructure Audit Reports,COO,Jan – Dec 2026,Submission submitted to Board for Approval.,In Progress,60,Green
Infrastructure Challenges,Critical Priority,Conduct asset condition assessments,Prepare call out for engineers/experts,Upgrade Recommendations,CFO,Jan – Dec 2026,Call out for experts to go out in Q1 2026.,Not Started,10,Green
Infrastructure Challenges,Critical Priority,Conduct asset condition assessments,Prepare facility maintenance plan,,CIO,Jan – Dec 2026,,Not Started,0,Green
Staff Accommodation Upgrades,High Priority,"Assess, renovate and upgrade accommodation",Identify resorts with critical need,Improved Staff Accommodations,COO,Jan 2026 – June 2027,Submission done to Board.,In Progress,50,Green
Staff Accommodation Upgrades,High Priority,"Assess, renovate and upgrade accommodation",Prepare call out for experts/costing,Improved staff morale,Resort Managers,Jan 2026 – June 2027,Call out for experts to go out in Q1 2026.,Not Started,10,Green
Staff Accommodation Upgrades,High Priority,"Assess, renovate and upgrade accommodation",Review budget provisions,,CFO,Jan 2026 – June 2027,,Not Started,0,Green
Improve Guest Amenities,High Priority,"Assess air-cons, linen, equipment",Conduct Audit of Air-Cons,Aircons serviced/replaced,"Resort Managers, COO",Jan – June 2026,Call out for service supplies planned Q1 2026.,Not Started,15,Green
Improve Guest Amenities,High Priority,"Assess air-cons, linen, equipment",Roll out call out for service providers (SLA),,"Resort Managers, COO",Jan – June 2026,,Not Started,0,Green
Improve Guest Amenities,High Priority,"Assess air-cons, linen, equipment",Prepare preventative maintenance plan,Improved guest feedback,"Resort Managers, COO",Jan – June 2026,,Not Started,0,Green
Improve Guest Amenities,High Priority,"Assess air-cons, linen, equipment",Ensure stringent control measures,,"Resort Managers, COO",Jan – June 2026,,Not Started,0,Green
Fleet Replacement,High Priority,Implement fleet management plan,Identify needs for vehicle replacement,New Fleet,Fleet Administrator,Jan – Dec 2026,,Not Started,0,Green
Fleet Replacement,High Priority,Implement fleet management plan,Audit of grounded vehicles,Improved monitoring systems,COO,Jan – Dec 2026,,Not Started,0,Green
Fleet Replacement,High Priority,Implement fleet management plan,Prepare preventative maintenance plan,,COO,Jan – Dec 2026,,Not Started,0,Green
Technology Upgrades,High Priority,Enhance Wi-Fi and network,Determine needs identified,"Upgraded ICT Infrastructure, Better connectivity",CIO,Jan – Dec 2026,Tender for server room upgrade published.,In Progress,30,Green
Aesthetic Improvements,Medium Priority,"Improve Signage, Painting, Landscaping",Identify resorts needing improvements,Refreshed signage,Resort Managers,Jan – Dec 2026,Soft upgrades included in budget 2025/2026.,In Progress,20,Green
Aesthetic Improvements,Medium Priority,"Improve Signage, Painting, Landscaping",Develop call out to interior decorators,Neat guest and service areas,COO,Jan – Dec 2026,,Not Started,0,Green
Aesthetic Improvements,Medium Priority,"Improve Signage, Painting, Landscaping",Prepare maintenance plan,,COO,Jan – Dec 2026,,Not Started,0,Green
Comfort Enhancements,Medium Priority,Upgrade Pool Umbrellas/Furniture,Identify resorts needing pool furniture,,Resort Managers,Jan – Dec 2026,Soft upgrades included in budget 2025/2026.,In Progress,20,Green
Comfort Enhancements,Medium Priority,Upgrade Pool Umbrellas/Furniture,Identify resorts needing general furniture,,COO,Jan – Dec 2027,,Not Started,0,Green
